emosi,dokumen
disgust,"['happen', 'went', 'visit', 'friend', 'chelston', 'found', 'screw', 'girlfriend']"
shame,"['walk', 'room', 'pant', 'found', 'girlfriend', 'femal', 'friend', 'look', 'outsid']"
guilt,"['father', 'caught', 'sexual', 'intercours', 'closest', 'cousin', 'noth', 'wrong', 'femal', 'old']"
joy,"['girl', 'want', 'much', 'said', 'yes', 'fell', 'love']"
fear,"['one', 'even', 'gone', 'fish', 'friend', 'heard', 'roar', 'lion', 'near', 'run', 'live']"
anger,"['somebodi', 'stole', 'brother', 'disco', 'machin']"
sadness,"['uncl', 'die']"
disgust,"['classmat', 'answer', 'accident', 'call', 'natur', 'class', 'tough', 'mathemat', 'examin']"
shame,"['doubl', 'cross', 'fiance', 'one', 'day', 'caught', 'red', 'hand', 'forgav', 'later', 'asham', 'done']"
guilt,"['took', 'money', 'parent', 'hous', 'without', 'ask', 'caught', 'red', 'hand']"
joy,"['happi', 'discov', 'pass', 'first', 'year', 'examin', 'among', 'thirti', 'student', 'would', 'major', 'econom']"
fear,"['approach', 'exam', 'time', 'book', 'got', 'stolen', 'panic', 'thought', 'would', 'well', 'enough', 'consid', 'econom', 'quota', 'cri', 'lot', 'help', 'exam', 'day', 'came', 'near', 'strang', 'fear', 'grip']"
anger,"['annoy', 'particular', 'day', 'seemad', 'odd', 'favour', 'grandfath', 'ad', 'fuel', 'fire', 'import', 'appoint', 'unleash', 'anger']"
sadness,"['time', 'went', 'home', 'holiday', 'find', 'sister', 'pass', 'away', 'news', 'hidden', 'could', 'take', 'exam']"
disgust,"['discov', 'mother', 'involv', 'adulteri']"
shame,"['caught', 'steal', 'food', 'aunt', 'place', 'tri', 'hide', 'food', 'taken', 'pantri', 'aunt', 'kitchen', 'howev', 'went', 'pantri', 'discov', 'stolen', 'packag']"
guilt,"['dad', 'marri', 'second', 'wife', 'stepmoth', 'like', 'went', 'wardrob', 'set', 'fire', 'dress', 'eveyon', 'suspect', 'brother', 'bear', 'consequ', 'nobodi', 'ever', 'got', 'know', 'done']"
joy,"['accept', 'unza']"
fear,"['heard', 'lion', 'roar', 'first', 'time']"
anger,"['friend', 'told', 'educ', 'noth', 'discuss', 'friend', 'fail', '7th', 'grade', 'made', 'angri', 'use', 'educ', 'argu']"
sadness,"['belov', 'grandfath', 'die']"
disgust,"['disgust', 'univers', 'want', 'us', 'travel', 'home', 'lectur', 'everi', 'day', 'way', 'whole', 'thing', 'handl', 'disgust']"
shame,"['leav', 'home', 'decid', 'leav', 'without', 'say', 'goodby', 'young', 'brother', 'brother', 'saw', 'said', 'say', 'goodby', '312', 'year', 'old']"
guilt,"['cheat', 'father', 'book', 'allow', 'univers', 'discov', 'given', 'k150', 'per', 'year', 'book']"
joy,"['experienc', 'joy', 'got', 'result', 'made', 'second', 'year']"
fear,"['go', 'home', 'saw', 'somath', 'look', 'like', 'snake', 'road', 'later', 'found', 'stick']"
anger,"['happen', 'recent', 'dine', 'hall', 'one', 'friend', 'eat', 'call', 'fool']"
sadness,"['experienc', 'matern', 'grandmoth', 'pass', 'away', 'last', 'grand', 'parent', 'pass', 'away']"
disgust,"['happen', 'could', 'get', 'school', 'initi', 'want', 'end', 'someth', 'never', 'thought', 'would']"
shame,"['insult', 'girl', 'propos', 'turn']"
guilt,"['mother', 'sent', 'buy', 'thing', 'chang', 'brought', 'back', 'right', 'given', 'away', 'money', 'friend', 'think', 'would', 'notic', 'howev', 'mother', 'told', 'chang', 'correct']"
joy,"['first', 'child', 'born']"
fear,"['walk', 'thick', 'forest', 'big', 'snake', 'distanc', 'four', 'metr']"
anger,"['daughter', 'began', 'stay', 'away', 'class', 'age', 'nine']"
sadness,"['wife', 'die', 'hospit', 'pregnant', 'undergon', 'oper']"
disgust,"['best', 'friend', 'start', 'get', 'involv', 'privat', 'affair']"
shame,"['drunk', 'certain', 'wed', 'parti', 'got', 'involv', 'fight']"
guilt,"['send', 'word', 'boss', 'servant', 'tell', 'would', 'report', 'work', 'feel', 'well', 'doctor', 'refus', 'give', 'sick', 'leav', 'intent', 'actual', 'go', 'lusaka', 'weekend', 'left', 'day', 'follow', 'morn', 'boss', 'found', 'mongu', 'felt', 'guilti', 'ask', 'explain', 'thing', 'return']"
joy,"['receiv', 'letter', 'accept', 'unza']"
fear,"['drive', 'night', 'realiz', 'car', 'follow', 'us']"
anger,"['reachad', 'home', 'find', 'babi', 'bath', 'fed']"
sadness,"['saw', 'dead', 'child', 'cover', 'knock', 'car']"
disgust,"['saw', 'friend', 'husband', 'anoth', 'woman']"
shame,"['scold', 'sister', 'without', 'wait', 'explan']"
guilt,"['accus', 'husband', 'late', 'deliber', 'came', 'pick', 'work']"
joy,"['appoint', 'ministri', 'health', 'join', 'teach', 'staff', 'one', 'medic', 'colleg']"
fear,"['took', 'blood', 'patient', 'alcohol', 'estim', 'urin', 'examin', 'told', 'someth', 'bad', 'would', 'happen', 'would', 'play', 'magic']"
anger,"['dean', 'unza', 'ask', 'vacat', 'big', 'flat', 'occupi', 'take', 'smaller', 'one', 'becom', 'full', 'time', 'student', 'unza']"
sadness,"['close', 'friend', 'involv', 'accid', 'pass', 'away', 'instant', 'gone', 'buy', 'new', 'car', 'ask', 'wait', 'home', 'could', 'see', 'new', 'car']"
disgust,"['told', 'brother', 'stay', 'would', 'go', 'train', 'school', 'year', 'year']"
shame,"['patient', 'given', 'power', 'medicin', 'shout', 'front', 'mani', 'peopl', 'realiz', 'ill']"
guilt,"['broke', 'relationship', 'former', 'girlfriend', 'would', 'ask', 'irrelev', 'quetion', 'past']"
joy,"['receiv', 'promot', 'letter']"
fear,"['sleep', 'heard', 'neighbour', 'scream', 'peep', 'window', 'saw', 'thief', 'tri', 'enter', 'neighbour', 'hous']"
anger,"['annoy', 'person', 'higher', 'ask', 'particular', 'job', 'done', 'job']"
sadness,"['brother', 'came', 'tell', 'problem', 'famili', 'felt', 'sad', 'thought', 'mother', 'gone', 'away', 'brother', 'younger', 'thing', 'would', 'differ']"
disgust,"['train', 'woman', 'start', 'talk', 'loud', 'attract', 'everybodi', 'attent', 'worst', 'thing', 'discuss', 'someth', 'knew', 'noth', 'anoth', 'person']"
shame,"['jog', 'session', 'sever', 'abdomin', 'cramp', 'lead', 'want', 'empti', 'bladder', 'friend', 'gather', 'around', 'two', 'help', 'toilet', 'asham', 'go', 'toilet', 'presenc', 'friend']"
guilt,"['certain', 'woman', 'ask', 'make', 'someth', 'kept', 'put', 'final', 'made', 'see', 'day', 'told', 'one', 'day', 'collaps', 'die', 'felt', 'quit', 'guilti', 'joke', 'said', 'might', 'request']"
joy,"['accept', 'third', 'year', 'g10', 'former', 'secondari', 'school']"
fear,"['gone', 'medic', 'checkup', 'youth', 'fail', 'make', 'back', 'time', 'c119', 'practic', 'session', '1400', 'hour', 'last', 'academ', 'year']"
anger,"['mistreat', 'stepmoth']"
sadness,"['aunt', 'pass', 'away', 'earli', '1982']"
disgust,"['fail', 'secur', 'employ', 'form', '5', 'lusaka', 'despit', 'excel', 'certif']"
shame,"['fail', 'grade', '7', 'exam', 'first', 'attempt', '1975', 'father', 'entir', 'famili', 'thought', 'finish', 'life', 'realli', 'felt', 'like', 'hide']"
guilt,"['beat', 'first', 'year', 'student', 'secondari', 'school', 'capac', 'deputi', 'head', 'boy', 'woken', 'late', 'morn', 'manual', 'work']"
joy,"['heard', 'someon', 'close', 'well', 'exam', 'despit', 'fool', 'around', 'lot']"
fear,"['drunkard', 'barg', 'room', 'friend', 'run', 'order', 'get', 'away', 'alon', 'could', 'see', 'hand', 'come', 'toward']"
anger,"['friend', 'play', 'joke', 'boyfriend', 'boyfriend', 'came', 'accus', 'plan', 'whole', 'thing', 'said', 'deserv', 'boyfriend', 'embarass', 'front', 'crowd']"
sadness,"['famili', 'heard', 'death', 'grandfath', 'seen', 'week', 'earlier', 'seem', 'wait', 'see', 'us']"
disgust,"['boy', 'put', 'hand', 'cook', 'potato', 'dress', 'water', 'clean']"
shame,"['soppi', 'poem', 'written', 'boy', 'found', 'everi', 'one', 'read', 'start', 'teas']"
guilt,"['boyfriend', 'ask', 'go', 'refus', 'want', 'go', 'anoth', 'guy', 'go', 'boyfriend', 'found']"
joy,"['long', 'time', 'communic', 'physic', 'ill', 'worri', 'lover', 'came', 'see', 'least', 'expect', 'see']"
fear,"['bird', 'made', 'nest', 'thatch', 'roof', 'fli', 'flap', 'wing', 'bedroom', 'night', 'dark', 'could', 'even', 'see', 'nose', 'know', 'bird', 'till', 'mother', 'told']"
anger,"['junior', 'dormitori', 'school', 'start', 'complain', 'make', 'lot', 'nois', 'duti', 'assign', 'prefect', 'classmat', 'cool', 'dull']"
sadness,"['elder', 'sister', 'scold', 'front', 'younger', 'sister', 'cousin', 'said', 'lazi', 'felt', 'sad', 'cri', 'sleep']"
disgust,"['christma', 'day', 'drunk', 'man', 'came', 'hous', 'without', 'shirt', 'dans', 'spoke', 'nonsens', 'behav', 'stupid']"
shame,"['wet', 'bed', 'board', 'school']"
guilt,"['babi', 'sister', '23', 'month', 'old', 'tri', 'get', 'back', 'slip', 'fell']"
joy,"['son', 'regist', 'get', 'admiss', 'grade', 'one', 'primari', 'school', 'chanc', 'get', 'place', '110', 'two', 'week', 'later', 'inform', 'enrol']"
fear,"['came', 'back', 'work', 'one', 'day', 'friend', 'son', 'told', 'come', 'back', 'school', 'lost']"
anger,"['roommat', 'lock', 'room', 'without', 'specifi', 'would', 'find', 'key', 'spend', 'sever', 'hour', 'friend', 'room']"
sadness,"['lost', 'grandfath', 'love', 'much', 'known', 'ill', 'time', 'receiv', 'messag', 'alreadi', 'dead']"
disgust,"['teacher', 'one', 'cours', 'gave', '10', 'question', 'subquest', 'go', 'e', 'question', 'ask', 'one', 'half', 'hour', 'involv', 'lot', 'describ', 'explain', 'even', 'though', 'knew', 'answer', 'could', 'finish', 'work']"
shame,"['forgot', 'cours', 'instructor', 'direct', 'us', 'go', 'special', 'class', 'usual', 'class', 'hour', 'miss', 'first', 'day', 'ask', 'next', 'day', 'said', 'forgotten']"
guilt,"['inform', 'neighbour', 'left', 'robber', 'spot', 'even', 'near', 'hous', 'neighbour', 'front', 'day', 'thiev', 'broke', 'neighbour', 'hous']"
joy,"['father', 'bought', 'suit']"
fear,"['taken', 'exam', 'fear', 'fail']"
anger,"['bad', 'beaten', 'one', 'friend', 'wed', 'parti']"
sadness,"['sad', 'hear', 'grandfath', 'pass', 'away']"
disgust,"['disappoint', 'girlfriend', 'visit', 'home', 'woodland']"
shame,"['asham', 'one', 'got', 'c', 'ed120', 'assign']"
guilt,"['caught', 'steal', 'box', 'match', 'supermarket', 'plead', 'guilti']"
joy,"['heard', 'achiev', 'place', 'form']"
fear,"['first', 'came', 'unza', 'know', 'kind', 'peopl', 'would', 'find', 'kind', 'behaviour', 'would', 'toward']"
anger,"['gone', 'home', 'weekend', 'came', 'back', 'found', 'cloth', 'bed', 'stolen']"
sadness,"['father', 'pass', 'away']"
disgust,"['someon', 'stole', 'k10', 'note', 'teacher', 'thought', 'respons', 'theft']"
shame,"['fail', 'grade', 'seven', 'exam']"
guilt,"['one', 'day', 'mother', 'went', 'visit', 'friend', 'came', 'back', 'scold', 'kept', 'hous', 'order', 'decid', 'talk']"
joy,"['saw', 'famili', 'separ', 'one', 'year']"
fear,"['littl', 'sister', 'sick', 'home', 'thought', 'would', 'die']"
anger,"['found', 'sister', 'play', 'confidenti', 'thing', 'taken', 'handbag']"
sadness,"['one', 'best', 'friend', 'commit', 'siucid', 'holiday']"
disgust,"['disgust', 'number', 'second', 'year', 'student', 'pregnant', 'illegitim']"
shame,"['got', 'low', 'mark', 'one', 'assign']"
guilt,"['aunt', 'went', 'way', 'help', 'financi', 'problem']"
joy,"['fell', 'love', 'x', 'overnight', 'felt', 'confid', 'selfesteem', 'respons', 'worthwhil']"
fear,"['thunder', 'belt', 'hit', 'roof', 'top', 'build']"
anger,"['roommat', 'lock', 'deliber', 'exam', 'due', '1400', 'hour']"
sadness,"['friend', 'die', 'one', 'first', 'die', 'car', 'accid', 'second', 'one', 'recent', 'due', 'ill']"
disgust,"['cousin', 'put', 'feac', 'wash', 'silli', 'idea', 'meant', 'joke']"
shame,"['get', 'drunk', 'creat', 'lot', 'troubl', 'place', 'respect', 'friend', 'home']"
guilt,"['took', 'small', 'boy', 'share', 'choclal', 'guest', 'given', 'larger', 'share', 'sweet']"
joy,"['day', 'got', 'telegram', 'tell', 'select', 'ba', 'unza', 'felt', 'happi', 'expect', 'select']"
fear,"['day', 'encount', 'queer', 'mamba', 'face', 'face', 'chunk', 'leav', 'behind', 'hous']"
anger,"['friend', 'tri', 'discrimin', 'friendship', 'certain', 'friend', 'thought', 'improp']"
sadness,"['day', 'teacher', 'latin', 'french', 'die']"
disgust,"['day', 'went', 'eat', 'dinner', 'din', 'hall', 'found', 'dead', 'fli', 'gravi']"
shame,"['felt', 'asham', 'first', 'time', 'drank', 'nobodi', 'famili', 'drink', 'felt', 'let', 'parent', 'friend']"
guilt,"['day', 'came', 'home', 'drunk', 'attend', 'disco', 'parti']"
joy,"['happi', 'receiv', 'year', 'end', 'result', 'worri', 'well', 'done', 'happi', 'know', 'pass']"
fear,"['caught', 'someth', 'suppos', 'someth', 'person', 'caught', 'bribe', 'even', 'though', 'promis', 'report', 'still', 'frighten']"
anger,"['told', 'friend', 'someth', 'confidenti', 'suppos', 'remain', 'two', 'us', 'next', 'thing', 'happen', 'girl', 'even', 'close', 'us', 'came', 'laugh', 'askad', 'tell', 'angri', 'friend', 'trust']"
sadness,"['rememb', 'mother', 'die', 'day', 'sad', 'everi', 'time', 'think', 'sadden', 'loss', 'mother']"
disgust,"['thiev', 'broke', 'hous', 'disgust', 'behaviour', 'find', 'anyth', 'broke', 'thing', 'like', 'window', 'glass', 'etc']"
shame,"['bribe', 'person', 'caught', 'someth', 'suppos', 'done', 'asham', 'done']"
guilt,"['caught', 'someth', 'bad', 'bribe', 'person', 'caught', 'later', 'felt', 'bad', 'mayb', 'paid', 'bad', 'behaviour']"
joy,"['receiv', 'posit', 'answer', 'appeal', 'withdraw', 'registr', 'unza']"
fear,"['passeng', 'vehicl', 'sudden', 'anoth', 'vehicl', 'came', 'behind', 'overtak', 'us', 'howev', 'anoth', 'one', 'come', 'right', 'front', 'vehicl', 'chang', 'cours', 'block', 'way', 'crash', 'side', 'road']"
anger,"['ask', 'stop', 'studi', 'econom', 'field', 'interest', 'employ']"
sadness,"['learnt', 'death', 'friend']"
disgust,"['learnt', 'offer', 'studi', 'univers', 'withdrawn', 'would', 'get', 'hostel', 'accomod', 'unza', 'even', 'though', 'regist', 'student', 'later']"
shame,"['love', 'propos', 'turn', 'ladi', 'realli', 'love']"
guilt,"['came', 'across', 'blind', 'man', 'sit', 'one', 'corridor', 'ask', 'money', 'though', 'money', 'give', 'anyth']"
joy,"['first', 'came', 'campus']"
fear,"['confront', 'policeman', 'one', 'night', 'around', '11', 'clock', 'afraid', 'threaten', 'take', 'girl', 'gallow']"
anger,"['argument', 'friend', 'mine', 'behaviour', 'toward', 'anoth', 'friend', 'turn', 'quarrel', 'lost', 'temper', 'near', 'knock']"
sadness,"['lost', 'father', 'car', 'accid']"
disgust,"['deni', 'favourit', 'dish', 'din', 'hall', 'shima', 'roast', 'chicken', 'felt', 'disgust']"
shame,"['felt', 'asham', 'friend', 'alway', 'respect', 'insult', 'public', 'drunk']"
guilt,"['librari', 'book', 'overdu', 'money', 'pay']"
joy,"['got', 'result', 'pass', 'form', 'iii', 'exam', 'expect', 'well']"
fear,"['explor', 'friend', 'almost', 'got', 'lost', 'unfamiliar', 'environ', 'get', 'dark', 'know', 'get', 'back', 'home']"
anger,"['father', 'get', 'back', 'chipata', 'time', 'thus', 'hold', 'back', 'progress', 'everyth', 'depend', 'felt', 'angri', 'action']"
sadness,"['littl', 'brother', 'pass', 'away', 'mysteri', 'least', 'told']"
disgust,"['saw', 'woman', 'run', 'train', 'kafu', 'woman', 'cut', 'bit', 'blood', 'splinter', 'bone', 'everi']"
shame,"['almost', 'someth', 'aw', 'friend', 'mine']"
guilt,"['pass', 'femal', 'friend', 'mine', 'appar', 'reason', 'influenc', 'drug', 'like', 'get', 'mad', 'anyon', 'howev', 'small', 'provoc']"
joy,"['accept', 'unza']"
fear,"['thiev', 'broke', 'neighbour', 'hous', 'later', 'heard', 'gunshot']"
anger,"['aunt', 'scold', 'someth', 'respons', 'boy', 'come', 'gate', 'ask', 'aunt', 'went', 'see', 'neither', 'met', 'known', 'boy']"
sadness,"['cousin', 'pass', 'away', 'unexpect', 'tragic', 'murder']"
disgust,"['mother', 'got', 'terribl', 'beat', 'father', 'bad', 'faint', 'dad', 'realiz', 'bad']"
shame,"['friend', 'child', 'wedlock']"
guilt,"['lie', 'home', 'told', 'go', 'christian', 'meet', 'went', 'see', 'boyfriend', 'instead']"
joy,"['receiv', 'result', 'slip', 'pass', 'birthday']"
fear,"['forc', 'friend', 'chew', 'poison', 'herb', 'primari', 'school', 'tongu', 'swollen', 'told', 'mother', 'mother', 'report', 'headmast', 'threaten', 'expel', 'us']"
anger,"['board', 'school', 'someon', 'put', 'lot', 'tini', 'thorn', 'bed', 'complain', 'everybodi', 'began', 'teas', 'laugh', 'inabl', 'find', 'enemi', 'lost', 'temper']"
sadness,"['grandfath', 'die']"
disgust,"['roommat', 'drunk', 'vomit', 'floor', 'fell', 'face', 'vomit', 'near', 'choke', 'death', 'faint', 'call', 'first', 'aid']"
shame,"['kid', 'mother', 'caught', 'steal', 'sugar', 'give', 'neighbour']"
guilt,"['got', 'bad', 'fight', 'bar', 'friend', 'receiv', 'bad', 'cut', 'left', 'eye', 'tri', 'separ', 'us']"
joy,"['felt', 'vveri', 'happi', 'accept', 'unza', 'studi', 'expect', 'ill', 'exam']"
fear,"['felt', 'frighten', 'robber', 'broke', 'hous', 'threaten', 'shoot', 'father', 'part', 'money', 'look', 'man', 'hand', 'trigger']"
anger,"['teacher', 'former', 'secondari', 'school', 'forc', 'darl', 'marri', 'girl', 'tri', 'refus', 'parent', 'would', 'leav', 'alon']"
sadness,"['sister', 'die', 'sixteen', 'put', 'rest']"
disgust,"['wit', 'accid']"
shame,"['father', 'found', 'bed', 'girl', 'deep', 'actioon', 'enter', 'room']"
guilt,"['took', 'grandmoth', 'money', 'without', 'tell', 'ask', 'taken', 'money', 'deni']"
joy,"['coin', 'small', 'compet']"
fear,"['went', 'home', 'late', 'one', 'even', 'saw', 'secur', 'light', 'got', 'insid', 'gate', 'realiz', 'dog', 'may', 'outsid']"
anger,"['littl', 'niec', 'talkat', 'sudden', 'becam', 'naughti', 'began', 'wet', 'pant', 'one', 'afternoon']"
sadness,"['morn', 'sleep', 'feel', 'somebobi', 'attack', 'start', 'cri', 'sleep', 'roommat', 'woke']"
disgust,"['learnt', 'cousin', 'sister', 'pregnant']"
shame,"['cousin', 'farm', 'night', 'drunk', 'like', 'fool', 'made', 'lot', 'nois', 'drunk', 'two', 'much', 'wine']"
guilt,"['fridg', 'home', 'lock', 'one', 'day', 'want', 'someth', 'unscrew', 'door', 'unfortun', 'caught', 'act']"
joy,"['select', 'univers']"
fear,"['saw', 'accid', 'woman', 'run', 'die', 'spot']"
anger,"['dress', 'thing', 'stolen', 'wardrob']"
sadness,"['grandmoth', 'pass', 'away']"
disgust,"['watch', 'movi', 'someon', 'drunk', 'start', 'vomit', 'helpless']"
shame,"['ate', 'sister', 'food', 'found', 'felt', 'asham', 'still', 'refus', 'admit']"
guilt,"['told', 'person', 'someth', 'happen', 'friend', 'person', 'went', 'told', 'friend']"
joy,"['got', 'kind', 'girlfriend', 'hunt', 'long', 'time']"
fear,"['told', 'form', 'five', 'result']"
anger,"['saw', 'younger', 'sister', 'bother', 'boy', 'know']"
sadness,"['time', 'lost', 'badminton', 'match', 'zambia', 'close', 'badminton', 'championship']"
disgust,"['take', 'girlfriend', 'seem', 'taken', 'time']"
shame,"['dad', 'caught', 'honey', 'girlfriend', 'bedroom']"
guilt,"['beat', 'stupid', 'boy', 'fond', 'crack', 'joke']"
joy,"['select', 'higher', 'educ', 'ie', 'grade', '7', 'formi']"
fear,"['impregn', 'certain', 'girl', 'thought', 'would', 'forc', 'marri', 'go', 'court']"
anger,"['univers', 'withdrew', 'accomod', 'given']"
sadness,"['mother', 'father', 'separ', 'brief', 'separ', 'togeth']"
disgust,"['patron', 'certain', 'tavern', 'prostitut', 'almost', 'brothel']"
shame,"['propos', 'love', 'girl', 'turn']"
guilt,"['side', 'mother', 'quarrel', 'father', 'briefli', 'separ']"
joy,"['receiv', 'letter', 'woman', 'thought', 'ever', 'care', 'need', 'overjoy', 'learn', 'delay', 'thing']"
fear,"['two', 'guy', 'fight', 'murder', 'fear', 'one', 'would', 'kill']"
anger,"['could', 'reason', 'friend', 'anger']"
sadness,"['like', 'littl', 'girl', 'cri', 'dead', 'mother', 'call', 'name', 'sad']"
disgust,"['feel', 'disgust', 'got', 'aa', 'yesterday', 'practic', 'g220']"
shame,"['felt', 'asham', 'got', 'book', 'forc', 'girl']"
guilt,"['felt', 'guilti', 'suspect', 'roommat', 'steal', 'money', 'last', 'term']"
joy,"['elder', 'sister', 'got', 'marri', 'start', 'pain', 'abdomen', 'told', 'could', 'children', 'supris', 'babi', '2', 'month', 'back']"
fear,"['uncl', 'taken', 'utc', 'oper', 'cancer', 'lot', 'death', 'late', '3', 'everi', '4', 'oper', 'scare', 'uncl', 'life']"
anger,"['plan', 'go', 'town', 'friend', '1500', 'hour', 'went', 'registr', 'wait', 'good', '1', '12', 'hour', 'vital', 'go', 'town', 'could', 'money', 'final', 'borrow', 'money', 'friend', 'went', 'town', 'realli', 'angri', 'friend']"
sadness,"['dreamt', 'father', 'death', 'secondari', 'school', 'scream', 'top', 'voic', 'woken', 'friend', 'day', 'realli', 'sad']"
disgust,"['prepar', 'special', 'meal', 'boyfriend', 'brother', 'came', 'home', 'ate', 'realli', 'disgust']"
shame,"['parti', 'guy', 'like', 'realli', 'love', 'gather', 'enough', 'courag', 'ask', 'kiss', 'instead', 'ask', 'would', 'like', 'birthday', 'told', 'would', 'like', 'kiss', 'anyth', 'els', 'excus', 'said', 'imposs', 'realli', 'felt', 'embarass']"
guilt,"['secondari', 'school', 'make', 'lot', 'nois', 'teacher', 'came', 'ask', 'us', 'make', 'nois', 'whole', 'class', 'punish']"
joy,"['happi', 'scholarship', 'continu', 'studi', 'unza', 'approv', 'cancel']"
fear,"['met', 'eleph', 'bush']"
anger,"['someon', 'took', 'pen', 'away']"
sadness,"['cousin', 'pass', 'away', 'holiday', 'home', 'fell', 'ill', 'night', 'next', 'day', 'die', 'even']"
disgust,"['offic', 'dean', 'student', 'offic', 'promis', 'give', 'room', 'next', 'day', 'fail', 'keep', 'promis']"
shame,"['accomod', 'campus', 'stay', 'extend', 'famili', 'one', 'young', 'man', 'use', 'bad', 'word', 'ask', 'leav', 'home']"
guilt,"['broke', 'glass', 'glycerin', 'zcbc', 'store', 'ndola']"
joy,"['someon', 'love']"
fear,"['walk', 'around', 'alon', 'night']"
anger,"['made', 'look', 'like', 'fool', 'girl']"
sadness,"['dad', 'pass', 'away']"
disgust,"['told', 'right', 'control', 'lover']"
shame,"['get', 'low', 'mark', 'mathemat']"
guilt,"['one', 'lover', 'told', 'flirt']"
joy,"['sister', 'wed']"
fear,"['walk', 'along', 'dark', 'road', 'alon']"
anger,"['lock', 'room', 'roommat', 'friend']"
sadness,"['fail', 'one', 'cours', 'school', 'univers', 'zambia']"
disgust,"['found', 'someon', 'close', 'flirt', 'around']"
shame,"['swindl', 'money', 'someon']"
guilt,"['deliv', 'messag', 'time']"
joy,"['ladi', 'wife', 'accept', 'propos', 'lover', 'futur', 'wife']"
fear,"['neighbour', 'hous', 'broken', 'shot', 'could', 'heard']"
anger,"['thief', 'broke', 'hous', 'stole', 'valuabl', 'good']"
sadness,"['death', 'guardian', 'stay', 'grade', 'six']"
disgust,"['substitut', 'play', 'stage', 'learnt', 'line']"
shame,"['woman', 'respect', 'much', 'made', 'pregnant', 'unexpect', 'man', 'calib', 'never', 'expect']"
guilt,"['appli', 'fals', 'travel', 'claim', 'allow', 'later', 'thought', 'would', 'found']"
joy,"['felt', 'happi', 'mother', 'gave', 'birth', 'son', 'last', 'born', 'famili']"
fear,"['father', 'involv', 'car', 'accid', 'two', 'year', 'ago', 'scare', 'think', 'would', 'die', 'lay', 'unconsci', 'hospit', 'two', 'week']"
anger,"['felt', 'angri', 'mishanga', 'seller', 'rob', 'transport', 'money', 'go', 'school']"
sadness,"['felt', 'sad', 'friend', 'mine', 'fail', 'final', 'exam', 'could', 'accept', 'institut', 'learn']"
disgust,"['felt', 'disgust', 'fellow', 'student', 'ask', 'marri', 'expect', 'mere', 'friend']"
shame,"['asham', 'friend', 'cross', 'till', 'apolog']"
guilt,"['felt', 'guilti', 'said', 'bad', 'thing', 'sister', 'intend', 'cri', 'lot', 'later', 'fell', 'ill', 'felt', 'respons', 'ill']"
joy,"['select', 'studi', 'unza']"
fear,"['1960', 'go', 'school', 'near', 'villag', 'met', 'lion', 'way', 'disappear', 'sudden']"
anger,"['wife', 'told', 'refriger', 'stop', 'work']"
sadness,"['heard', 'death', 'mother']"
disgust,"['relat', 'troubl', 'would', 'help', 'financi']"
shame,"['fail', 'one', 'first', 'year', 'cours']"
guilt,"['late', 'work', 'told', 'boss', 'due', 'transport', 'problem', 'wherea', 'truth', 'woken', 'late', 'thus', 'cheat', 'boss']"
joy,"['overwhelm', 'joy', 'receiv', 'accept', 'letter', 'unza', 'happen', 'pass', 'first', 'year', 'cours']"
fear,"['1977', 'friend', 'caught', 'crocodil', 'swim', 'river', 'whose', 'bank', 'primari', 'school', 'situat', 'friend', 'caught', 'bank', 'river', 'us', 'still', 'middl', 'river', 'frighten']"
anger,"['1982', 'annoy', 'uncl', 'drunk', 'beat', 'old', 'father', 'claim', 'father', 'respons', 'guardian', 'failur']"
sadness,"['last', 'academ', 'year', 'receiv', 'bad', 'news', 'granduncl', 'pass', 'away', 'felt', 'lone', 'bad', 'apart', 'biolog', 'tie', 'good', 'old', 'friend', 'mine', 'home']"
disgust,"['last', 'week', 'former', 'school', 'secondari', 'mate', 'mine', 'differentt', 'school', 'came', 'room', 'unza', 'absenc', 'drunk', 'vomit', 'room', 'unhappi']"
shame,"['year', 'back', 'propos', 'love', 'girl', 'later', 'turn', 'relat', 'though', 'love', 'felt', 'asham', 'withdrew']"
guilt,"['last', 'year', 'ask', 'look', 'niec', 'mother', 'cook', 'unfortun', 'kid', 'fell', 'bed', 'confid', 'would', 'fall', 'pay', 'much', 'attent']"
joy,"['qualifi', 'form', 'one', 'three', 'pupil', 'qualifi', 'form', 'year']"
fear,"['learnt', 'girl', 'impregn', 'hospit', 'verg', 'die', 'refus', 'accept', 'respons', 'pregnanc', 'want', 'commit', 'suicid']"
anger,"['got', 'home', 'found', 'electr', 'suppli', 'disconnect', 'despit', 'paid', 'zesco', 'full', 'bill', 'day', 'earlier']"
sadness,"['lost', 'grandmoth', 'guardian', 'death', 'father']"
disgust,"['demand', 'accomod', 'campus', 'refus', 'room', 'allot', 'first', 'year', 'student', 'rucher', 'came', 'influenti', 'famili']"
shame,"['told', 'girl', 'could', 'take', 'night', 'entertain', 'mother', 'come', 'home', 'howev', 'later', 'met', 'girl', 'anoth', 'girlfriend', 'hostel', 'taken', 'anoth', 'girlfriend', 'mine']"
guilt,"['told', 'driver', 'workplac', 'lie', 'tell', 'boss', 'respons', 'delay', 'boss', 'annoy', 'driver', 'punish', 'day', 'salari', 'taken', 'away']"
joy,"['wife', 'gave', 'birth', 'babi', 'boy', 'son', 'date']"
fear,"['burglar', 'gun', 'forc', 'hous', 'order', 'give', 'money', 'face', 'death']"
anger,"['colleagu', 'spat', 'face', 'quarrel']"
